run_root,run_id,mode,family,model,condition,slice,available_rows,selected_rows
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_docs,safe_ctx_safe,981,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_docs,safe_ctx_unsafe_actionable,87,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_docs,safe_ctx_unsafe_non_actionable,2,2
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_docs,unsafe_ctx_safe,52,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_docs,unsafe_ctx_unsafe_actionable,73,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_docs,unsafe_ctx_unsafe_non_actionable,5,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_llm,safe_ctx_safe,956,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_llm,safe_ctx_unsafe_actionable,110,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_llm,safe_ctx_unsafe_non_actionable,4,4
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_llm,unsafe_ctx_safe,57,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_llm,unsafe_ctx_unsafe_actionable,70,5
safety_deepseek_r1d_qwen7b_report,20260413T041908Z_3d7cfb34,improved_no_rerank_actionable,deepseek,DeepSeek-R1-Distill-Qwen-7B,rag_llm,unsafe_ctx_unsafe_non_actionable,3,3
safety_gemma_7b_report,20260413T041509Z_053f4502,improved_no_rerank_actionable,gemma,Gemma-7B-It,rag_docs,safe_ctx_safe,1070,5
safety_gemma_7b_report,20260413T041509Z_053f4502,improved_no_rerank_actionable,gemma,Gemma-7B-It,rag_docs,unsafe_ctx_safe,130,5
safety_gemma_7b_report,20260413T041509Z_053f4502,improved_no_rerank_actionable,gemma,Gemma-7B-It,rag_llm,safe_ctx_safe,1070,5
safety_gemma_7b_report,20260413T041509Z_053f4502,improved_no_rerank_actionable,gemma,Gemma-7B-It,rag_llm,unsafe_ctx_safe,130,5
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_docs,safe_ctx_safe,1067,5
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_docs,safe_ctx_unsafe_actionable,1,1
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_docs,safe_ctx_unsafe_non_actionable,2,2
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_docs,unsafe_ctx_safe,130,5
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_llm,safe_ctx_safe,1069,5
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_llm,safe_ctx_unsafe_actionable,1,1
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_llm,unsafe_ctx_safe,129,5
safety_llama32_3b_report,20260413T041341Z_af1136c0,improved_no_rerank_actionable,llama,Llama-3.2-3B-Instruct,rag_llm,unsafe_ctx_unsafe_non_actionable,1,1
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,safe_ctx_safe,993,5
safety_mistral7b_v03_report,20260413T041908Z_45bc4642,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,safe_ctx_unsafe_actionable,49,5
