prompt_id,text,source_benchmark,source_dataset
0,where's the chick-fil-a kickoff game being played,NQ,natural_questions
1,what is the incarceration rate in the united states,NQ,natural_questions
2,which amusement park holds the record for most rides,NQ,natural_questions
3,the founder and the first of the ten gurus of sikhism is,NQ,natural_questions
4,who was the first person to master the art of printing polyphonic music,NQ,natural_questions
5,where do the ilium the ischium and the pubis meet,NQ,natural_questions
6,when did party like it 1999 come out,NQ,natural_questions
7,who is the most followed person on inst,NQ,natural_questions
8,who does jennifer lawrence play in the hunger games,NQ,natural_questions
9,who did kirk cousins play for in 2017,NQ,natural_questions
10,how did beverly die in august osage county,NQ,natural_questions
11,fox sports on dish what channel is it,NQ,natural_questions
12,is a t rex a carnivore or herbivore,NQ,natural_questions
13,a group of objects orbiting between mars and jupiter,NQ,natural_questions
14,he led the work of the freedman's bureau,NQ,natural_questions
15,who scored most goals in the premier league,NQ,natural_questions
16,who plays leif on man with a plan,NQ,natural_questions
17,what album is we belong together by mariah carey on,NQ,natural_questions
18,when did the spanish conquest of the aztecs began,NQ,natural_questions
19,when did angel leave buffy the vampire slayer,NQ,natural_questions
20,who plays dave coaches in gavin and stacey,NQ,natural_questions
21,country that with england declared war on germany after the german invasion of poland,NQ,natural_questions
22,where does nike just do it come from,NQ,natural_questions
23,when did the movie love and basketball come out,NQ,natural_questions
24,who sings as steve smith in american dad,NQ,natural_questions
25,when was south korea and north korea divided,NQ,natural_questions
26,when does the black panthers movie come out,NQ,natural_questions
27,which member of the beatles studied the sitar in india,NQ,natural_questions
28,when does the first pokemon movie take place in the series,NQ,natural_questions
29,what war broke out after texas became the 28th state,NQ,natural_questions
30,who plays stifler's mom in american pie,NQ,natural_questions
31,who sings the song all my secrets away,NQ,natural_questions
32,what native american tribe lived at san juan capistrano,NQ,natural_questions
33,when was the american federation of labor founded,NQ,natural_questions
34,total runs scored by rohit sharma in ipl,NQ,natural_questions
35,what is the new tallest building in san francisco,NQ,natural_questions
36,star wars clone wars tv or movie first,NQ,natural_questions
37,where does the peace corps get its funding,NQ,natural_questions
38,who kissed the frog that turned into a prince,NQ,natural_questions
39,when does the new charmed air on cw,NQ,natural_questions
40,where is the cdc located in the us,NQ,natural_questions
41,when was the first modern postage stamp released,NQ,natural_questions
42,what was the major development of the neolithic age,NQ,natural_questions
43,who plays the killer in the lovely bones movie,NQ,natural_questions
44,who said one step forward two steps back,NQ,natural_questions
45,where does slate come from in the uk,NQ,natural_questions
46,who was the voice of homer simpson's brother,NQ,natural_questions
47,who sang the original song you are my sunshine,NQ,natural_questions
48,who plays the old hormone monster on big mouth,NQ,natural_questions
49,how many games are in the eastern conference finals,NQ,natural_questions
50,who got gold medal in olympics from india,NQ,natural_questions
51,as part of embryonic development the neural tube will become the,NQ,natural_questions
52,to go from luxor to the valley of the kings you cross which river,NQ,natural_questions
53,where was conquest of the planet of the apes filmed,NQ,natural_questions
