run_root,run_id,mode,family,model,condition,slice,available_rows,selected_rows
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_docs,safe_ctx_safe,1045,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_docs,safe_ctx_unsafe_actionable,1,1
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_docs,safe_ctx_unsafe_non_actionable,24,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_docs,unsafe_ctx_safe,106,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_docs,unsafe_ctx_unsafe_actionable,6,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_docs,unsafe_ctx_unsafe_non_actionable,18,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_llm,safe_ctx_safe,1042,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_llm,safe_ctx_unsafe_actionable,9,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_llm,safe_ctx_unsafe_non_actionable,19,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_llm,unsafe_ctx_safe,104,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_llm,unsafe_ctx_unsafe_actionable,5,5
safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_llm,unsafe_ctx_unsafe_non_actionable,21,5
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_docs,safe_ctx_safe,1065,5
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_docs,safe_ctx_unsafe_actionable,3,3
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_docs,safe_ctx_unsafe_non_actionable,2,2
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_docs,unsafe_ctx_safe,129,5
safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_docs,unsafe_ctx_unsafe_non_actionable,1,1
