prompt_id,text,source_benchmark,source_dataset
mirage:popqa:6c512c5b-f2d6-471f-8984-5672f49f6fb7,What is Bae Geu-rin's occupation?,MIRAGE,popqa
mirage:popqa:719d5d4b-7781-4db5-8390-f585a00eab5b,What is Patrick O'Brien Demsey's occupation?,MIRAGE,popqa
mirage:popqa:38878a2e-ae69-44f2-b606-b72dd15ddf92,What is Muhammad Ali Luqman's occupation?,MIRAGE,popqa
mirage:popqa:d86e4b65-10ba-44e1-8b17-e4b952e6f8af,What is Joseph Weydemeyer's occupation?,MIRAGE,popqa
mirage:popqa:b77a9faa-330e-41a2-b893-b0b98c448a3f,What is Elisa Bridges's occupation?,MIRAGE,popqa
mirage:popqa:89aeefef-73f0-4da1-88e0-b0e381475595,What is Kekko Fornarelli's occupation?,MIRAGE,popqa
mirage:popqa:08e79974-675c-4ce5-9e1d-952c088522d1,What is Adil Shamoo's occupation?,MIRAGE,popqa
mirage:popqa:2b1cbd52-01d8-4798-aac4-3893c05a368d,What is Patrick Mulvany's occupation?,MIRAGE,popqa
mirage:popqa:d5a55717-ccfd-4ef7-95a5-dc6bf0ad65cf,What is Huntington Wilson's occupation?,MIRAGE,popqa
mirage:popqa:9d5dad3e-14d6-47d1-89b2-febf0d64403e,What is Ernst Theodor Echtermeyer's occupation?,MIRAGE,popqa
mirage:popqa:7a987b7d-4618-407f-aba4-f400d076c2f6,What is Bedřich Feigl's occupation?,MIRAGE,popqa
mirage:popqa:e523314a-995c-4a27-9ba1-0774e1f160bd,What is J. Da Silva's occupation?,MIRAGE,popqa
mirage:popqa:66df9bc5-b665-4eaa-9a55-c43ca060ce1f,What is Kamya Panjabi's occupation?,MIRAGE,popqa
mirage:popqa:6c15cc08-fa1a-44af-a4f4-6e527d830c3e,What is John Strange's occupation?,MIRAGE,popqa
mirage:popqa:1eecd927-ec6a-4f73-b208-1cf87dddaffa,What is Meg McCall's occupation?,MIRAGE,popqa
mirage:popqa:20d6d164-7b97-4160-83a3-a333f657364b,What is Todd Verow's occupation?,MIRAGE,popqa
mirage:popqa:93d2366a-c962-48d0-a1f1-af84f4dc50cf,What is Tatiana Doronina's occupation?,MIRAGE,popqa
mirage:popqa:beac4a2f-8b22-4ba2-a581-eff46c834bb8,What is E. David Redwine's occupation?,MIRAGE,popqa
mirage:popqa:d383abfb-8bdb-4729-add7-15646a2e002c,What is Chiara Zanni's occupation?,MIRAGE,popqa
mirage:popqa:bf950026-be37-40bc-8a5f-b00aaa0079ce,What is Guillem Ramon de Gironella's occupation?,MIRAGE,popqa
mirage:popqa:1703f7c5-12a1-44c4-9b5d-494842810951,What is Paddy Mullins's occupation?,MIRAGE,popqa
mirage:popqa:92d80130-47ff-410f-a6fc-4ea6c979d0d6,What is Richard Sandrak's occupation?,MIRAGE,popqa
mirage:popqa:b148fb30-aa7c-4a80-8a1b-923ebca0add3,What is Paul Lieber's occupation?,MIRAGE,popqa
mirage:popqa:2d972621-0292-43d0-abb0-7d527d13e97b,What is Anjali Sudhakar's occupation?,MIRAGE,popqa
mirage:popqa:7cb6c94f-8a47-4afc-b2f3-d8438103babc,What is A. Lawrence Kocher's occupation?,MIRAGE,popqa
mirage:popqa:9ca34add-2de5-4d7e-aebe-5e1f25cc1629,What is Lewis J. Rachmil's occupation?,MIRAGE,popqa
mirage:popqa:b4ec3927-afb1-4643-b557-078ba717cf11,What is Robert Antoine's occupation?,MIRAGE,popqa
mirage:popqa:836849ac-8328-4f0c-a3d6-32bb1451d5f0,What is Akimasa Nakamura's occupation?,MIRAGE,popqa
mirage:popqa:d595b916-f9b5-441b-92d3-9df795b1ea53,What is Jean-Marie-Victor Viel's occupation?,MIRAGE,popqa
mirage:popqa:ec959bcf-9ced-489e-b3b4-f5f7498cfd46,What is Lorena Corona Valdés's occupation?,MIRAGE,popqa
mirage:popqa:23f2d026-9a4a-4d54-b0e8-436db2f130e3,What is Honor Harger's occupation?,MIRAGE,popqa
mirage:popqa:fbc540d2-3774-420c-89cb-64016ab7dc68,In what city was Alastair Heathcote born?,MIRAGE,popqa
mirage:popqa:f4d76401-b38a-41de-ace2-2fb9b1fe448a,In what city was Danie Mellor born?,MIRAGE,popqa
mirage:popqa:ae40a1dd-0bb4-42ab-9432-961e7e3ab6af,In what city was Austin Cuvillier born?,MIRAGE,popqa
mirage:popqa:ac3f3d38-c6a0-4fd8-ae2d-273569c8c365,In what city was Jack Kachkar born?,MIRAGE,popqa
mirage:popqa:cc5ee0c7-bb74-4930-8e9b-58b5c7ea2257,In what city was Betty Francisco born?,MIRAGE,popqa
mirage:popqa:29225af5-56b5-457e-8b51-c149cb78f89c,In what city was Matt Moralee born?,MIRAGE,popqa
mirage:popqa:8fc8fd2c-da90-40b8-a282-18f104cec7e3,In what city was Aloïs Boudry born?,MIRAGE,popqa
mirage:popqa:554e16dc-c491-4398-a766-642858fc99fc,In what city was Piotr Balcerzak born?,MIRAGE,popqa
mirage:popqa:e402c272-4f0e-4ebe-badf-aeee76ea5b02,In what city was Roy A. Roberts born?,MIRAGE,popqa
mirage:popqa:982b2d7e-018a-4c4a-bd7d-eea0090587af,In what city was Donald De Lue born?,MIRAGE,popqa
mirage:popqa:733af1a2-47fa-4821-906d-1d4976ca4a29,In what city was Dilson Torres born?,MIRAGE,popqa
mirage:popqa:1f73ebf3-bc79-4ce5-9c92-9fe9d0febd03,In what city was Geert Brusselers born?,MIRAGE,popqa
mirage:popqa:21042758-0361-4f84-b50b-3bf22dfa5bc1,In what city was Grant Bramwell born?,MIRAGE,popqa
mirage:popqa:cd3870e4-9c29-4f16-889a-4105c9909df4,In what city was John Anderson born?,MIRAGE,popqa
mirage:popqa:62997318-115d-477a-9412-5f8c1ffd011c,In what city was Amir Syamsuddin born?,MIRAGE,popqa
mirage:popqa:95e2a997-c980-4a75-a5a4-08e5bc1d0174,In what city was Spartaco Schergat born?,MIRAGE,popqa
mirage:popqa:feda58e0-f7e3-4e79-bde8-d7cee59faaac,In what city was Heinrich August Jäschke born?,MIRAGE,popqa
mirage:popqa:0ce595d9-81b8-4a03-85fb-73b8de3add40,In what city was Julia Jones born?,MIRAGE,popqa
mirage:popqa:512ea79c-ce68-4e2b-9661-bfe81f12fcf4,In what city was Thomas Seaton Scott born?,MIRAGE,popqa
mirage:popqa:670bc9f6-6aea-4d06-b296-572836b7ed72,In what city was Irving Amen born?,MIRAGE,popqa
mirage:popqa:fe0019a5-2ab1-4d44-a90f-3617068d7909,In what city was Juan Manuel Montero Vázquez born?,MIRAGE,popqa
mirage:popqa:416a5518-ea91-4185-9872-a85cf5a77304,In what city was Teri DeSario born?,MIRAGE,popqa
mirage:popqa:051bd1ff-49b8-439f-ac6c-9362d989f9e1,In what city was Dennis Havig born?,MIRAGE,popqa
mirage:popqa:59933cc5-aabf-4930-be33-630951605391,In what city was Renato Bartilotti born?,MIRAGE,popqa
mirage:popqa:60fee1ed-1c6a-452d-a81f-024a6c1888e2,In what city was Louis Renault born?,MIRAGE,popqa
mirage:popqa:f13ef1c0-1bc4-4189-8b78-288aeb1426d3,In what city was Karim Ojjeh born?,MIRAGE,popqa
mirage:popqa:8c9ee319-1c93-452d-a36c-70c1c7a492e4,In what city was Gerhard Ludwig born?,MIRAGE,popqa
mirage:popqa:0ae7d75e-5dbd-426a-aae2-04006e6f8db1,In what city was Gaston-François de Witte born?,MIRAGE,popqa
mirage:popqa:88b99beb-4ef0-47f3-9936-4a18976fb081,In what city was William Bell Scott born?,MIRAGE,popqa
mirage:popqa:38d0640e-f341-44d3-9a46-1e538e34dc32,In what city was Karl Bartholomaeus Heller born?,MIRAGE,popqa
mirage:popqa:81d87ad7-957b-4f58-a9ca-408de7ed96b1,In what city was John Edward Campbell born?,MIRAGE,popqa
