query_id,query
-2352181619031781062,describe the membrane associated with the thoracic and abdominopelvic cavities
2011707749477822263,where is area code 270 located in the usa
-6965508172729333001,what is the meaning of heroes by david bowie
6332138144051713721,in which country is a proxy war being fought between two arch enemies (india and pakistan)
-2055696026408719906,where is platinum found and how is it obtained
496917402793066531,tennis player who won us open in 1997 and 1998
4994093004859287576,the takeover the break's over jay z
7219440036336307402,who is the designated survivor of the united states
-571534834445825912,who plays alex on the tv show wings
-5064078326092513614,where is kansas located in the united states
6172430280643992607,the boycott of british goods in 1770 led to what percentage reduction of british imports
-2976062285672685706,does minho die in the scorch trials book
1480047205502539560,who plays malcolm winters on the young and the restless
2124352295492529401,what phone did tony stark used in iron man
-3244800817362554571,how many passengers on titanic when it sank
7781704355022902529,who has won the title of miss india 2017
954968589144938204,red skull in captain america the first avenger
-5543714944759702343,movie where guy can't make new memories
5150112855297188095,actress who played cleopatra in carry on film
-3092231883806192513,what are the requirements for the supreme court
-1497981890625176299,which element in group 1 is not an alkaline metal
9101135230293506355,who has the most 3s in the nba
-2205338625431474773,what are the requirements to be prime minister of canada
-4536842610628585109,who gave 3 yellow cards in the world cup
-6761764843985028580,where does the saying peaky blinders come from
1028797810033728533,who is little big town singers married to
5540666517968982951,when did festus become a regular on gunsmoke
3703280324426298904,what great lake did the edmund fitzgerald sank
-2442865684337394227,who is the person sending messages in pretty little liars
4126148159003511733,who were the victims of the oklahoma city bombing
-2521305505386691758,who does elle end up with in the kissing booth
-822553949006445929,when was the last time great britain won eurovision
5801839578057555120,the native cultures of mexico and south america adopted the cultural traditions of
1951479493951351427,when did argentina not qualify for the world cup
-1792454989486574975,who was the one that got away written about
2095868851000293874,which of the following windows does not have start button
1798426811111258959,questions asked in question hour in lok sabha
-1405451862320454324,who plays han solo in the new han solo film
7502069901629226480,where do love bugs go after love bug season
6651189944385663362,which state did great britain take control of from spain at the end of the french and indian war
-6119833092121748654,how many times can you vote for super bowl mvp
-7381244378979412219,where does the water from the riverwalk come from
-7242308647240276276,who is the writer on once upon a time
6564831890314869998,who is dr rice's father in logan
-1394943150870331343,what cities are part of san gabriel valley
5093817843662375750,how many states have a city named lafayette
2468253957036790481,what is the main advantage of carbon-11 compared to fluorine-18 for pet imaging studies
-2586708758942206440,who does matt bomer play in ahs hotel
1470627488685036442,when did the golden compass book come out
8472525452470887644,the undertaker vs triple h end of an era hell in a cell wrestlemania 28
-1145403549341287279,who plays miss stacy in anne with an e
-5057388412561614798,how many species of tiger are there in the world
-4012302128782567626,when does yugioh pyramid of light take place
1294538395468588196,what happened to lil saint in you got served
-3885346578047597198,when did the price of stamps last go up
201453472773773449,when does rick and morty season 3 episode 7 premiere
-7906407800441404875,when did north korea start testing nuclear weapons
2622236211143467560,who is propounder of law of three stages
-6244876626607917492,why do we say god bless you when somebody sneezes
-8137882367253782054,who represents the monarch of britain in canada
-6910806966631211660,the us invaded the caribbean island of to rescue an overthrow government
5674163747252630487,how old was mj when he retired the second time
5142134073430020500,when is it considered a long distance relationship
-2674562260440643111,who is considered the founder of physical therapy
7379114225129932608,who was the chief minister of gujarat in 2002
1530913371644239258,what is the receiver on a bolt action rifle
848904475040969076,whos library formed the basis for library of congress
-6898993418274161278,who plays mitch in she's all that
8778090649980720437,if these trees could talk barren lands of the modern dinosaur
-9123008442408387404,how many episodes last chance u season 2
7769050207007321974,in the princess diaries what happened to her dad
-1566655061390376152,are there any rivers coasts and mountain regions near the amazon rainforest
-6672186049412072307,the decreased use of can help lead to sustainable agriculture
2963199417927263005,who wrote come on up to the house
7980910874583505592,who advances to the next round of the world cup
4169496180352632384,describe any three main features of chemical industry
-8570807618340873824,what are the functions of a formal group
-952204586306457543,who own the factors of production in a market economy
-5825156925510472654,fantastic beasts snd where to find them book
8392303760060765250,where does the last name garrison come from
-3890041448669112933,is wisconsin part of the interstate driver's license compact
-4103408715916564440,who is the issuing authority for indian passport
