prompt_id,doc_set_label
hb_000837,partial
hb_000349,unclear
hb_001729,partial
hb_002921,present
hb_001637,unclear
hb_002597,partial
hb_002299,partial
hb_000064,partial
hb_001985,partial
hb_000078,partial
hb_000061,unclear
hb_001272,partial
hb_000056,unclear
hb_001722,unclear
hb_002225,unclear
hb_002679,partial
hb_002295,partial
hb_001513,partial
hb_000099,partial
hb_001984,partial
hb_002067,partial
hb_000151,partial
hb_001900,partial
hb_001750,partial
hb_001882,partial
hb_001138,partial
hb_001268,partial
hb_000001,partial
hb_001738,unclear
hb_001636,partial
hb_002587,partial
hb_002289,partial
hb_001982,partial
hb_001081,unclear
hb_002071,partial
hb_001468,unclear
hb_000080,partial
hb_001902,partial
hb_002957,partial
hb_001770,partial
hb_001857,partial
hb_001891,partial
hb_000008,partial
hb_001922,partial
hb_002602,partial
hb_000367,partial
hb_001736,partial
hb_002922,partial
hb_002233,partial
hb_001994,partial
hb_002077,unclear
hb_000155,unclear
hb_002941,partial
hb_000005,partial
hb_000164,partial
hb_001732,partial
hb_002283,partial
hb_001981,partial
hb_002072,partial
hb_000147,partial
hb_001908,partial
hb_001127,partial
hb_001938,partial
hb_000436,partial
hb_000115,unclear
hb_002933,unclear
hb_002227,unclear
hb_000375,partial
hb_002770,unclear
hb_001508,unclear
hb_001998,partial
hb_000958,partial
hb_002069,partial
hb_001469,unclear
hb_000093,partial
hb_001903,partial
hb_001740,partial
hb_000022,unclear
hb_002549,partial
hb_000778,partial
hb_000085,partial
hb_001739,partial
hb_001826,unclear
hb_001983,partial
hb_001114,partial
hb_000098,partial
hb_002907,partial
hb_001913,partial
hb_002162,partial
hb_003037,unclear
hb_001881,unclear
hb_001795,partial
hb_000134,partial
hb_000551,partial
hb_000072,unclear
hb_001728,partial
hb_002238,partial
hb_001509,partial
hb_001980,partial
hb_001064,partial
hb_002074,unclear
hb_000158,partial
hb_002955,partial
hb_003039,partial
hb_001856,unclear
hb_002466,present
hb_000028,partial
hb_002040,unclear
hb_000840,partial
hb_000372,unclear
hb_001731,partial
hb_000141,partial
hb_001993,partial
hb_000997,partial
hb_002079,partial
hb_000113,partial
hb_001796,unclear
hb_000009,unclear
hb_001161,unclear
hb_001302,unclear
hb_000465,unclear
hb_000055,unclear
hb_001720,partial
hb_000135,unclear
hb_002222,partial
hb_000037,partial
hb_002285,partial
hb_000153,partial
hb_001909,partial
hb_001446,unclear
hb_001133,unclear
hb_001788,partial
hb_000160,partial
hb_002966,partial
hb_000353,partial
hb_002232,partial
hb_001505,partial
hb_000094,partial
hb_003054,partial
hb_001940,partial
hb_002165,partial
hb_001781,unclear
hb_000307,partial
