prompt_id,doc_set_label
hb_001851,partial
hb_001120,partial
hb_001784,partial
hb_001260,partial
hb_000837,partial
hb_000349,partial
hb_001373,partial
hb_001729,present
hb_002921,partial
hb_002221,partial
hb_001637,partial
hb_002597,partial
hb_002777,partial
hb_002299,partial
hb_000064,partial
hb_001985,partial
hb_001462,partial
hb_000078,partial
hb_002184,partial
hb_001743,partial
hb_002164,partial
hb_003033,partial
hb_001129,partial
hb_001782,partial
hb_000061,partial
hb_001272,partial
hb_000056,partial
hb_002090,partial
hb_001962,present
hb_001722,partial
hb_000162,partial
hb_002225,partial
hb_002679,partial
hb_002295,partial
hb_001513,partial
hb_000099,partial
hb_001984,partial
hb_002067,partial
hb_000151,partial
hb_001900,partial
hb_001688,unclear
hb_001750,partial
hb_002498,partial
hb_001761,partial
hb_003034,partial
hb_001854,unclear
hb_001882,partial
hb_001138,partial
hb_001789,partial
hb_000128,partial
hb_001268,partial
hb_000514,partial
hb_000001,partial
hb_001672,unclear
hb_002234,partial
hb_002669,partial
hb_001636,partial
hb_002587,partial
hb_002289,partial
hb_000339,partial
hb_001982,partial
hb_001081,partial
hb_002071,partial
hb_001468,partial
hb_000080,partial
hb_001643,partial
hb_001902,partial
hb_003004,partial
hb_002957,partial
hb_001742,partial
hb_001456,partial
hb_001770,unclear
hb_003036,partial
hb_001857,partial
hb_001891,partial
hb_001792,partial
hb_000008,partial
hb_001922,partial
hb_001279,partial
hb_000477,partial
hb_002602,partial
hb_000367,partial
hb_001494,partial
hb_001736,partial
hb_002922,partial
hb_002889,partial
hb_002233,partial
hb_002280,partial
hb_001511,partial
hb_000063,partial
hb_001994,partial
hb_001095,partial
hb_002077,partial
hb_000155,partial
hb_002902,partial
hb_002563,partial
hb_002941,unclear
hb_003038,partial
hb_001849,partial
hb_002102,partial
hb_001124,partial
hb_000005,partial
hb_001182,partial
hb_001261,partial
hb_000552,partial
hb_000164,partial
hb_002083,partial
hb_001732,partial
hb_002235,partial
hb_002283,partial
hb_000102,partial
hb_001981,partial
hb_000933,partial
hb_002072,partial
hb_001472,partial
hb_000147,partial
hb_001865,partial
hb_001908,partial
hb_002408,partial
hb_002185,partial
hb_002945,partial
hb_001454,partial
hb_001852,partial
hb_001127,partial
hb_001793,partial
hb_000124,partial
hb_001938,partial
hb_001274,unclear
hb_000436,partial
hb_000115,partial
hb_001727,partial
hb_002933,partial
hb_002227,partial
hb_000375,partial
hb_002770,partial
hb_002286,partial
hb_001508,partial
hb_000042,partial
hb_001297,present
hb_001998,partial
hb_000958,partial
hb_002069,unclear
hb_001469,partial
hb_000093,partial
hb_001645,partial
hb_001903,partial
hb_001740,present
hb_001450,partial
hb_001846,partial
hb_001128,partial
hb_000022,present
hb_001173,partial
hb_001527,unclear
hb_002728,partial
hb_002549,partial
hb_001939,partial
hb_001269,partial
hb_000778,partial
hb_000085,partial
hb_001491,unclear
hb_001739,partial
hb_002223,partial
hb_001826,partial
hb_002591,partial
hb_002282,partial
hb_001983,present
hb_001114,partial
hb_002060,partial
hb_000098,partial
hb_002907,partial
hb_001913,unclear
hb_001759,unclear
hb_002162,partial
hb_003037,partial
hb_001881,unclear
hb_002755,unclear
hb_001795,partial
hb_000134,partial
hb_001170,partial
hb_001929,partial
hb_000551,partial
hb_002607,unclear
hb_000072,partial
hb_001728,partial
hb_000178,partial
hb_002238,partial
hb_002284,unclear
hb_001509,partial
hb_000157,present
hb_001291,partial
hb_001980,partial
hb_001064,partial
hb_002074,partial
hb_000158,unclear
hb_001202,partial
hb_003039,partial
hb_001856,partial
hb_002114,partial
hb_002466,present
hb_000028,partial
hb_002040,partial
hb_001162,partial
hb_002960,unclear
hb_001928,partial
hb_000840,partial
hb_001602,partial
hb_000372,partial
hb_001965,partial
hb_001731,present
hb_002371,partial
hb_002672,partial
hb_000338,partial
hb_001282,partial
hb_000997,partial
hb_002079,partial
hb_001467,partial
hb_003028,partial
hb_001853,partial
hb_001131,partial
hb_001796,partial
hb_000009,partial
hb_001161,partial
hb_001302,partial
hb_002540,partial
hb_001264,partial
hb_000465,partial
hb_000055,partial
hb_001720,partial
hb_000135,partial
hb_002145,partial
hb_002222,partial
hb_002667,unclear
hb_000037,partial
hb_001634,partial
hb_002285,partial
hb_001516,partial
hb_000153,partial
hb_001554,partial
hb_001992,partial
hb_001909,partial
hb_001564,unclear
hb_002404,partial
hb_002190,partial
hb_001446,partial
hb_001133,partial
hb_001788,partial
hb_000160,partial
hb_002692,partial
hb_002966,partial
hb_000421,unclear
hb_000353,partial
hb_001734,partial
hb_002232,partial
hb_002665,partial
hb_000327,partial
hb_002294,partial
hb_001505,partial
hb_000329,partial
hb_001999,partial
hb_000983,partial
hb_002867,unclear
hb_000094,partial
hb_001861,partial
hb_003054,partial
hb_001687,partial
hb_001940,partial
hb_002165,partial
hb_001137,partial
hb_001781,partial
hb_000307,partial
