prompt_id,doc_set_label
hb_000349,partial
hb_001729,partial
hb_002921,partial
hb_001637,partial
hb_002597,partial
hb_001985,partial
hb_000078,partial
hb_001129,partial
hb_000061,unclear
hb_001272,partial
hb_000056,unclear
hb_002225,unclear
hb_002295,partial
hb_001513,partial
hb_000099,partial
hb_001984,unclear
hb_002067,unclear
hb_001900,unclear
hb_001882,partial
hb_000128,unclear
hb_000001,partial
hb_001738,unclear
hb_001636,partial
hb_002289,unclear
hb_001982,unclear
hb_000080,partial
hb_001902,partial
hb_002957,partial
hb_001770,partial
hb_001891,partial
hb_001792,unclear
hb_000008,partial
hb_001922,partial
hb_000367,partial
hb_001736,unclear
hb_002922,partial
hb_001994,unclear
hb_002077,partial
hb_000155,partial
hb_002941,partial
hb_000005,unclear
hb_000552,partial
hb_000164,partial
hb_002083,partial
hb_001732,partial
hb_001981,unclear
hb_002072,unclear
hb_000147,partial
hb_002386,partial
hb_001908,partial
hb_001777,partial
hb_000436,partial
hb_000115,partial
hb_002933,partial
hb_002227,unclear
hb_000375,partial
hb_001508,partial
hb_000042,partial
hb_001297,partial
hb_000958,partial
hb_001903,partial
hb_001740,partial
hb_001846,unclear
hb_000022,partial
hb_001173,partial
hb_000085,partial
hb_001739,unclear
hb_002926,partial
hb_002223,unclear
hb_001983,unclear
hb_001114,unclear
hb_000098,partial
hb_001867,partial
hb_001913,partial
hb_003037,unclear
hb_001881,unclear
hb_001795,unclear
hb_000134,partial
hb_000551,partial
hb_000072,unclear
hb_001728,unclear
hb_002238,partial
hb_001980,partial
hb_002466,unclear
hb_000028,unclear
hb_002040,partial
hb_000840,unclear
hb_000372,partial
hb_001731,partial
hb_000141,partial
hb_002371,partial
hb_001993,partial
hb_000997,partial
hb_002079,partial
hb_000113,partial
hb_001853,partial
hb_001796,partial
hb_000009,partial
hb_001302,partial
hb_000465,unclear
hb_000055,unclear
hb_001720,partial
hb_002222,partial
hb_000037,partial
hb_000153,partial
hb_001992,unclear
hb_001909,unclear
hb_001564,partial
hb_000160,partial
hb_000421,partial
hb_000353,unclear
hb_002232,unclear
hb_000329,partial
hb_000094,unclear
hb_001940,partial
hb_002165,partial
hb_001137,partial
hb_001781,unclear
hb_000307,partial
