prompt_id,doc_set_label
hb_001851,partial
hb_001784,unclear
hb_001190,partial
hb_002620,unclear
hb_000349,partial
hb_001373,partial
hb_001729,partial
hb_002921,partial
hb_002221,partial
hb_001637,unclear
hb_002597,partial
hb_002062,partial
hb_001462,partial
hb_002572,unclear
hb_001743,partial
hb_002164,partial
hb_001704,partial
hb_003033,partial
hb_001129,partial
hb_001195,partial
hb_002970,partial
hb_000056,partial
hb_001722,partial
hb_002679,partial
hb_002810,unclear
hb_001281,partial
hb_001984,unclear
hb_002067,partial
hb_001900,partial
hb_003008,partial
hb_003034,partial
hb_001882,present
hb_001789,partial
hb_001197,partial
hb_000514,partial
hb_000001,unclear
hb_001738,partial
hb_000391,partial
hb_002669,partial
hb_001636,partial
hb_002587,unclear
hb_002071,partial
hb_001468,partial
hb_000080,partial
hb_001902,partial
hb_003004,partial
hb_002957,present
hb_001456,partial
hb_001770,partial
hb_001135,partial
hb_001792,partial
hb_000008,partial
hb_001922,unclear
hb_000367,unclear
hb_001494,partial
hb_001736,partial
hb_002922,partial
hb_002811,partial
hb_001994,partial
hb_001095,partial
hb_002077,partial
hb_002902,unclear
hb_002563,partial
hb_002941,partial
hb_002161,partial
hb_003038,partial
hb_002102,partial
hb_001182,partial
hb_000552,partial
hb_000164,present
hb_001732,partial
hb_002283,unclear
hb_000933,partial
hb_001472,unclear
hb_000147,partial
hb_003057,unclear
hb_002945,partial
hb_001127,partial
hb_001793,unclear
hb_000436,partial
hb_002612,partial
hb_001508,partial
hb_000042,partial
hb_001297,partial
hb_000958,partial
hb_002069,partial
hb_001469,partial
hb_000093,unclear
hb_001903,partial
hb_001450,unclear
hb_001778,partial
hb_001846,unclear
hb_001128,partial
hb_000022,partial
hb_001199,partial
hb_002728,partial
hb_001939,partial
hb_001739,present
hb_002591,partial
hb_002282,partial
hb_000098,unclear
hb_001759,partial
hb_001881,unclear
hb_002755,partial
hb_001795,unclear
hb_000134,partial
hb_001307,partial
hb_000072,partial
hb_001728,partial
hb_000178,partial
hb_002284,unclear
hb_000157,present
hb_001291,partial
hb_001064,unclear
hb_002074,partial
hb_000158,partial
hb_002196,partial
hb_002955,unclear
hb_001202,partial
hb_002114,partial
hb_002466,partial
hb_000028,partial
hb_002040,partial
hb_002736,partial
hb_001928,partial
hb_000840,partial
hb_001602,partial
hb_000372,unclear
hb_001731,partial
hb_000141,unclear
hb_002672,partial
hb_001282,partial
hb_000997,partial
hb_002872,partial
hb_002079,partial
hb_001467,partial
hb_000113,partial
hb_002903,partial
hb_001766,unclear
hb_003028,partial
hb_001131,partial
hb_001796,partial
hb_000009,partial
hb_001302,partial
hb_002540,partial
hb_000465,partial
hb_000055,partial
hb_001720,present
hb_000135,partial
hb_002222,partial
hb_000037,partial
hb_001634,present
hb_002285,partial
hb_001866,unclear
hb_003001,partial
hb_001446,partial
hb_002494,partial
hb_001133,partial
hb_002743,partial
hb_001788,partial
hb_000160,partial
hb_002966,partial
hb_001263,unclear
hb_000353,partial
hb_002086,unclear
hb_001734,partial
hb_002939,partial
hb_002232,unclear
hb_002665,partial
hb_002294,unclear
hb_001505,partial
hb_000329,partial
hb_002867,partial
hb_000094,unclear
hb_003054,partial
hb_002949,partial
hb_001940,partial
hb_001137,partial
hb_001781,partial
hb_000307,partial
hb_002045,unclear
