prompt_id,doc_set_label
hb_001729,partial
hb_001637,partial
hb_001985,partial
hb_000078,partial
hb_002225,unclear
hb_002679,partial
hb_002295,partial
hb_002067,partial
hb_001900,partial
hb_001882,partial
hb_000128,partial
hb_000001,partial
hb_000391,partial
hb_001636,present
hb_001982,partial
hb_001468,unclear
hb_000080,partial
hb_001902,partial
hb_001770,partial
hb_000008,partial
hb_001922,partial
hb_002602,partial
hb_001736,partial
hb_000155,partial
hb_000005,partial
hb_000164,partial
hb_001732,partial
hb_000147,partial
hb_000436,partial
hb_000115,partial
hb_001802,unclear
hb_000375,partial
hb_000042,partial
hb_000958,partial
hb_001740,unclear
hb_001846,unclear
hb_000022,partial
hb_002549,partial
hb_002223,unclear
hb_000098,unclear
hb_001881,partial
hb_000551,partial
hb_000072,unclear
hb_002238,present
hb_001980,present
hb_000158,unclear
hb_001202,present
hb_002466,partial
hb_000028,partial
hb_002040,unclear
hb_000840,partial
hb_000372,partial
hb_001731,partial
hb_002672,partial
hb_001993,partial
hb_002079,partial
hb_000009,partial
hb_001302,partial
hb_000465,partial
hb_000055,partial
hb_001720,partial
hb_000135,partial
hb_002222,unclear
hb_002667,partial
hb_000037,partial
hb_002285,partial
hb_000153,partial
hb_001909,partial
hb_002171,present
hb_000160,partial
hb_000094,partial
hb_001940,unclear
hb_002165,partial
hb_000307,partial
